game/content/bg2.png
p 200 900
i 100 800 game\content\tutorial\move.png
b - 0 -40
b - 0 0
b - 0 40
b - 0 80
b - 0 120
b - 0 160
b - 0 200
b - 0 240
b - 0 280
b - 0 320
b - 0 360
b - 0 400
b - 0 440
b - 0 480
b - 0 520
b - 0 560
b - 0 600
b - 0 640
b - 0 680
b - 0 720
b - 0 760
b - 0 800
b - 0 840
b - 0 880
b - 0 920
b - 0 960
b - 0 1000
b - 40 1000
b - 80 1000
b - 120 1000
b - 160 1000
b - 200 1000
b - 240 1000
b - 280 1000
b - 320 1000
b - 360 1000
b - 400 1000
b - 440 1000
b - 480 1000
b - 520 1000
b - 560 1000
b - 600 1000
b - 640 1000
b - 680 1000
b - 720 1000
b - 760 1000
b - 800 1000
b - 840 1000
b - 880 1000
b - 920 1000
b - 960 1000
b - 1000 1000
b - 1040 1000
b - 1080 1000
b - 1120 1000
b - 1160 1000
b - 1200 1000
b - 1240 1000
b - 1280 1000
b - 1320 1000
b - 1360 1000
b - 1400 1000
b - 1440 1000
b - 1480 1000
b - 1520 1000
b - 1560 1000
b - 1600 1000
b - 1640 1000
b - 1680 1000
b - 1720 1000
b - 1760 1000
b - 1800 1000
b - 1840 1000
b - 1880 1000
b - 1880 960
b - 1880 920
b - 1880 880
b - 1880 840
b - 1880 800
b - 1880 760
b - 1880 720
b - 1880 680
b - 1880 640
b - 1880 600
b - 1880 560
b - 1880 520
b - 1880 480
b - 1880 440
b - 1880 400
b - 1880 360
b - 1880 320
b - 1880 280
b - 1880 240
b - 1880 200
b - 1880 160
b - 1880 120
b - 1880 80
b - 1880 40
b - 1880 0
b - 1880 -40
b = 360 960
b = 360 920
b = 360 880
b = 360 840
b = 360 800
b = 360 760
b = 360 720
